,precision,recall,f1-score,support
0,0.0,0.0,0.0,998.0
1,0.3345750084659668,0.9989888776541962,0.5012683916793506,989.0
2,0.125,0.001026694045174538,0.0020366598778004076,974.0
3,0.9245630174793008,0.9882005899705014,0.9553231939163497,1017.0
4,0.9910625620655412,0.9881188118811881,0.989588497768964,1010.0
5,1.0,0.9761668321747765,0.9879396984924623,1007.0
6,0.9486125385405961,0.9202392821535393,0.9342105263157895,1003.0
7,0.0,0.0,0.0,6.0
8,0.0,0.0,0.0,7.0
accuracy,0.698616459848809,0.698616459848809,0.698616459848809,0.698616459848809
macro avg,0.48042368072793384,0.5414156764310418,0.4855963297834129,7011.0
weighted avg,0.6207897355572249,0.698616459848809,0.6276785981069866,7011.0
