,precision,recall,f1-score,support
0,1.0,1.0,1.0,92.0
1,1.0,1.0,1.0,117.0
2,1.0,1.0,1.0,97.0
3,1.0,0.9494949494949495,0.9740932642487047,99.0
4,1.0,1.0,1.0,100.0
5,0.99,1.0,0.9949748743718593,99.0
6,0.9158878504672897,0.9607843137254902,0.9377990430622011,102.0
7,0.9803921568627451,0.9615384615384616,0.970873786407767,104.0
8,0.9782608695652174,0.989010989010989,0.9836065573770493,91.0
accuracy,0.9844617092119867,0.9844617092119867,0.9844617092119867,0.9844617092119867
macro avg,0.9849489863216946,0.9845365237522101,0.9845941694963979,901.0
weighted avg,0.9849201822328788,0.9844617092119867,0.9845419740549386,901.0
