"""Lab Energia Renovable 2""
98:FC:11:54:32:53","""Ing. Civil Telecomunicaciones""
00:1E:E5:7B:E0:BE","""Laboratorio de Redes""
48:F8:B3:22:4C:FA","""SMA1930055648""
B0:72:BF:05:3C:3D","""Lab ERNC""
00:90:4C:91:00:03","""Convertidores Estaticos""
20:AA:4B:AE:FD:0A","""FabLab""
AC:84:C6:3E:EF:51","""linksys""
00:25:9C:98:4B:7D","""Microondas""
48:F8:B3:22:4D:4B","""Sistemas Electronicos""
64:70:02:40:6C:DE","""Moto G (5) Plus 5535""
F0:D7:AA:D9:72:06","""CE5CFB""
98:FC:11:E2:A6:A5","""Lab Energias Renovables""
F4:EC:38:D2:09:78","""Docentes FI""
0E:18:D6:CB:01:A4","""AP_1612927617""
BC:54:F9:FC:7F:60","""UdeC""
84:D4:7E:29:3E:80","""WiFi-UdeC""
84:D4:7E:29:3E:81","""eduroam""
84:D4:7E:29:3E:82","""Eduescob1""
68:FF:7B:1D:44:01","""ASM""
00:11:6B:EA:1B:FB","""Vibraciones""
50:C7:BF:DD:C3:B3","""LCDA""
B0:48:7A:DE:14:8C","""SalaEstudioMecanica""
80:2A:A8:D4:F3:58","""Sala Dise\xC3\xB1o""
0A:18:D6:CB:01:A4","""LCSE-24""
F8:E9:03:C7:2C:80","""Die231""
EC:08:6B:42:B5:4A","""DIRECT-TOLAPTOP-NCCQG7FKmsNC""
76:6E:69:D9:C9:31","""Lab 212""
00:23:CD:18:65:9C","""iPhone de Jos\xC3\xA9""
AA:E8:7F:86:27:25","""DII-SalaEstudio""
D8:5D:4C:BF:11:FA","""LabSerc 2.4""
94:10:3E:86:13:20"
-130,-131,-118,-138,-130,-133,-133,-139,-130,-129,-134,-133,-133,-139,-129,-135,-135,-136,-140,-139,-144,-143,-139,-133,-138,-141,-139,-141,-138,-141,-136,-141,-139,-141,-143,-136,-142
-132,-131,-118,-138,-130,-133,-132,-138,-131,-132,-133,-133,-134,-134,-129,-134,-134,-136,-139,-143,-131,-143,-139,-134,-141,-139,-139,-141,-141,-139,-135,-141,-139,-140,-143,-139,-142,-142
"""Lab Energia Renovable 2""
98:FC:11:54:32:53","""Ing. Civil Telecomunicaciones""
00:1E:E5:7B:E0:BE","""Laboratorio de Redes""
48:F8:B3:22:4C:FA","""SMA1930055648""
B0:72:BF:05:3C:3D","""Lab ERNC""
00:90:4C:91:00:03","""Convertidores Estaticos""
20:AA:4B:AE:FD:0A","""FabLab""
AC:84:C6:3E:EF:51","""linksys""
00:25:9C:98:4B:7D","""Microondas""
48:F8:B3:22:4D:4B","""Sistemas Electronicos""
64:70:02:40:6C:DE","""Moto G (5) Plus 5535""
F0:D7:AA:D9:72:06","""CE5CFB""
98:FC:11:E2:A6:A5","""Lab Energias Renovables""
F4:EC:38:D2:09:78","""Docentes FI""
0E:18:D6:CB:01:A4","""AP_1612927617""
BC:54:F9:FC:7F:60","""Vibraciones""
50:C7:BF:DD:C3:B3","""Sala Dise\xC3\xB1o""
0A:18:D6:CB:01:A4","""SalaEstudioMecanica""
80:2A:A8:D4:F3:58","""ASM""
00:11:6B:EA:1B:FB","""Mimi""
3C:F7:A4:49:6A:FB","""LabSerc 2.4""
94:10:3E:86:13:20","""Die231""
EC:08:6B:42:B5:4A"
['-65'],['-59'],['-37'],['-79'],['-61'],['-67'],['-65'],['-79'],['-63'],['-57'],['-65'],['-65'],['-69'],['-71'],['-57'],['-61'],['-67'],['-77'],['-85'],['-81'],['-69'],['-81'],['-73'],['-73'],['-73'],['-83'],['-85'],['-77'],['-83'],['-77']
['-67'],['-59'],['-37'],['-79'],['-61'],['-69'],['-73'],['-79'],['-69'],['-65'],['-65'],['-67'],['-69'],['-71'],['-57'],['-65'],['-67'],['-77'],['-85'],['-81'],['-69'],['-81'],['-73'],['-73'],['-69'],['-81'],['-85'],['-77'],['-83'],['-83'],['-87'],['-85'],['-87'],['-81'],['-79'],['-87']
['-65'],['-61'],['-37'],['-79'],['-59'],['-69'],['-65'],['-79'],['-67'],['-65'],['-65'],['-65'],['-67'],['-71'],['-57'],['-61'],['-69'],['-81'],['-87'],['-81'],['-75'],['-81'],['-73'],['-73'],['-75'],['-83'],['-85'],['-85'],['-83'],['-75'],['-87'],['-85'],['-85'],['-85'],['-83'],['-87'],['-85']
