,precision,recall,f1-score,support
0,0.9900990099009901,1.0,0.9950248756218906,200.0
1,1.0,1.0,1.0,197.0
2,0.99,1.0,0.9949748743718593,198.0
3,0.9813084112149533,1.0,0.9905660377358491,210.0
4,0.99,0.9949748743718593,0.9924812030075189,199.0
5,0.9950980392156863,0.9759615384615384,0.9854368932038836,208.0
6,0.9896907216494846,0.9948186528497409,0.9922480620155039,193.0
7,1.0,0.9759615384615384,0.9878345498783455,208.0
8,0.9946524064171123,0.9893617021276596,0.9919999999999999,188.0
accuracy,0.9922265408106608,0.9922265408106608,0.9922265408106608,0.9922265408106608
macro avg,0.9923165098220252,0.9923420340302597,0.9922851662038722,1801.0
weighted avg,0.9922875747789942,0.9922265408106608,0.992211528985634,1801.0
