,"X,Y","""Ing. Civil Telecomunicaciones""
00:1E:E5:7B:E0:BE","""Lab ERNC""
00:90:4C:91:00:03","""Lab Energia Renovable 2""
98:FC:11:54:32:53","""Microondas""
48:F8:B3:22:4D:4B","""AP_1612927617""
BC:54:F9:FC:7F:60","""Lab Energias Renovables""
F4:EC:38:D2:09:78","""Vibraciones""
50:C7:BF:DD:C3:B3","""Sala Dise\xC3\xB1o""
0A:18:D6:CB:01:A4","""SMA1930055648""
B0:72:BF:05:3C:3D","""linksys""
00:25:9C:98:4B:7D","""Convertidores Estaticos""
20:AA:4B:AE:FD:0A","""UdeC""
84:D4:7E:29:3E:80","""WiFi-UdeC""
84:D4:7E:29:3E:81","""eduroam""
84:D4:7E:29:3E:82","""FabLab""
AC:84:C6:3E:EF:51","""DII-SalaEstudio""
D8:5D:4C:BF:11:FA","""Controlistas""
54:E6:FC:E7:FA:D2","""LCDA""
B0:48:7A:DE:14:8C","""Die231""
EC:08:6B:42:B5:4A","""Sistemas Electronicos""
64:70:02:40:6C:DE","""Laboratorio de Redes""
48:F8:B3:22:4C:FA","""Docentes FI""
0E:18:D6:CB:01:A4","""LCSE-24""
F8:E9:03:C7:2C:80","""ANDES""
00:11:95:09:C1:4A"
33,"(1,1)",-65,-63,-61,-67,-63,-61,-57,-65,-75,-79,-61,-65,-67,-67,-71,-71,-83,-83,-77,-63,-35,-65,-71,-77
34,"(1,1)",-65,-61,-63,-69,-63,-61,-57,-65,-75,-77,-63,-67,-67,-65,-67,-71,-85,-81,-77,-67,-35,-67,-69,-77
35,"(1,1)",-65,-61,-63,-67,-65,-61,-55,-65,-77,-77,-61,-67,-65,-67,-67,-71,-85,-79,-79,-61,-35,-67,-69,-77
36,"(1,1)",-65,-63,-65,-69,-63,-61,-57,-63,-77,-79,-59,-65,-65,-61,-73,-71,-83,-81,-79,-61,-35,-65,-69,-81
37,"(1,1)",-65,-63,-65,-67,-65,-63,-57,-65,-75,-81,-61,-65,-65,-65,-67,-71,-85,-81,-79,-63,-37,-61,-71,-81
38,"(1,1)",-65,-61,-63,-65,-77,-63,-77,-63,-75,-79,-61,-67,-69,-65,-71,-71,-81,-83,-79,-63,-45,-65,-71,-81
39,"(1,1)",-65,-59,-65,-63,-65,-63,-57,-67,-75,-77,-59,-65,-65,-67,-65,-81,-83,-81,-79,-59,-37,-67,-63,-81
40,"(1,1)",-65,-59,-65,-67,-65,-63,-57,-65,-71,-77,-61,-67,-65,-63,-67,-81,-83,-81,-79,-59,-45,-65,-63,-75
41,"(1,1)",-65,-59,-63,-67,-65,-65,-57,-61,-77,-77,-61,-67,-65,-63,-73,-81,-79,-81,-79,-63,-45,-65,-71,-79
42,"(1,1)",-65,-63,-63,-65,-65,-63,-55,-63,-77,-77,-61,-77,-65,-59,-65,-81,-85,-81,-79,-61,-37,-67,-71,-77
43,"(1,1)",-65,-59,-63,-61,-63,-65,-55,-59,-75,-79,-61,-65,-65,-65,-67,-81,-85,-83,-77,-61,-47,-61,-71,-81
44,"(1,1)",-65,-61,-63,-67,-83,-63,-57,-65,-75,-79,-61,-67,-69,-67,-67,-81,-83,-83,-75,-75,-35,-67,-71,-79
45,"(1,1)",-65,-59,-63,-67,-65,-63,-57,-65,-75,-79,-61,-67,-67,-67,-73,-81,-83,-83,-75,-61,-37,-67,-71,-81
46,"(1,1)",-65,-59,-63,-67,-65,-65,-57,-65,-75,-77,-61,-65,-67,-67,-65,-81,-81,-83,-77,-63,-45,-65,-71,-79
47,"(1,1)",-63,-61,-63,-67,-63,-63,-57,-61,-77,-79,-61,-67,-67,-77,-67,-81,-81,-83,-77,-61,-35,-61,-71,-79
48,"(1,1)",-65,-61,-63,-69,-63,-63,-57,-65,-73,-79,-61,-67,-65,-67,-65,-81,-81,-83,-81,-63,-37,-63,-71,-79
49,"(1,1)",-65,-63,-63,-69,-65,-63,-57,-63,-75,-79,-61,-67,-67,-65,-71,-83,-81,-83,-77,-63,-35,-67,-71,-79
50,"(1,1)",-65,-63,-61,-67,-65,-63,-57,-63,-75,-79,-61,-67,-67,-67,-65,-71,-81,-81,-77,-63,-35,-67,-71,-77
51,"(1,1)",-65,-61,-65,-67,-63,-65,-57,-63,-77,-73,-61,-67,-67,-67,-69,-79,-81,-83,-77,-67,-45,-65,-69,-77
52,"(1,1)",-65,-61,-61,-61,-65,-63,-57,-65,-75,-75,-59,-67,-67,-65,-71,-69,-83,-83,-77,-63,-35,-65,-69,-75
53,"(1,1)",-65,-63,-63,-67,-63,-63,-57,-67,-75,-79,-61,-77,-67,-67,-71,-69,-83,-79,-77,-63,-45,-67,-69,-75
54,"(1,1)",-65,-61,-63,-69,-65,-63,-57,-63,-77,-75,-59,-65,-67,-65,-71,-69,-83,-79,-77,-63,-35,-65,-69,-75
55,"(1,1)",-65,-59,-61,-67,-63,-65,-55,-63,-75,-79,-61,-65,-67,-65,-71,-69,-85,-83,-77,-61,-45,-65,-53,-77
56,"(1,1)",-65,-59,-63,-69,-65,-65,-57,-65,-75,-75,-61,-67,-67,-65,-73,-69,-85,-85,-77,-63,-35,-65,-71,-79
57,"(1,1)",-65,-63,-63,-67,-63,-61,-57,-63,-75,-77,-61,-67,-67,-67,-71,-69,-85,-81,-77,-61,-37,-65,-71,-79
58,"(1,1)",-65,-69,-61,-67,-63,-63,-57,-65,-75,-77,-59,-67,-69,-65,-65,-69,-85,-81,-77,-61,-35,-67,-71,-79
59,"(1,1)",-65,-61,-61,-67,-63,-65,-57,-67,-77,-79,-63,-67,-67,-67,-65,-69,-83,-81,-71,-77,-35,-67,-71,-79
60,"(1,1)",-65,-61,-63,-67,-65,-61,-57,-65,-75,-77,-61,-67,-67,-67,-73,-69,-83,-79,-77,-63,-35,-65,-71,-77
61,"(1,1)",-65,-63,-63,-63,-65,-63,-57,-65,-77,-77,-63,-67,-67,-67,-73,-69,-83,-83,-77,-63,-37,-63,-71,-77
62,"(1,1)",-65,-59,-63,-67,-63,-63,-57,-63,-75,-77,-61,-67,-67,-65,-67,-69,-83,-83,-77,-61,-35,-65,-71,-79
63,"(1,1)",-65,-57,-63,-67,-65,-85,-85,-63,-77,-79,-61,-67,-67,-65,-67,-69,-83,-83,-77,-61,-35,-65,-71,-79
64,"(1,1)",-63,-61,-63,-67,-61,-59,-57,-59,-77,-79,-61,-69,-67,-65,-67,-81,-83,-83,-77,-63,-37,-65,-71,-79
65,"(1,1)",-65,-63,-63,-67,-65,-61,-57,-65,-75,-75,-61,-75,-67,-65,-65,-69,-83,-81,-79,-61,-45,-65,-71,-79
66,"(1,1)",-65,-63,-63,-69,-63,-65,-57,-65,-75,-71,-61,-69,-67,-65,-65,-69,-83,-81,-79,-61,-37,-67,-69,-79
67,"(1,1)",-65,-59,-63,-65,-65,-63,-57,-67,-75,-79,-61,-69,-67,-65,-73,-69,-83,-83,-79,-61,-37,-67,-69,-79
68,"(1,1)",-65,-63,-63,-69,-65,-63,-57,-65,-75,-79,-61,-67,-67,-67,-73,-81,-83,-83,-79,-61,-35,-65,-69,-79
69,"(1,1)",-65,-55,-63,-67,-65,-63,-57,-67,-73,-77,-61,-67,-67,-65,-71,-81,-83,-85,-79,-61,-37,-61,-67,-73
70,"(1,1)",-65,-57,-63,-67,-61,-61,-57,-65,-75,-79,-61,-67,-67,-65,-73,-81,-83,-83,-75,-61,-45,-65,-67,-79
71,"(1,1)",-65,-59,-63,-67,-65,-63,-75,-67,-77,-79,-61,-65,-65,-67,-67,-81,-83,-85,-77,-63,-35,-67,-71,-77
72,"(1,1)",-65,-63,-65,-61,-65,-65,-57,-65,-75,-81,-61,-67,-65,-67,-67,-81,-83,-85,-75,-61,-37,-67,-71,-81
73,"(1,1)",-67,-59,-63,-63,-63,-63,-57,-61,-75,-79,-61,-69,-67,-67,-77,-81,-83,-83,-75,-63,-37,-61,-71,-75
74,"(1,1)",-65,-61,-63,-67,-65,-63,-57,-61,-73,-79,-61,-69,-67,-67,-77,-81,-83,-81,-77,-63,-35,-61,-71,-75
75,"(1,1)",-65,-59,-63,-67,-61,-63,-57,-59,-75,-75,-61,-69,-67,-67,-67,-81,-85,-81,-77,-63,-37,-67,-71,-81
76,"(1,1)",-65,-65,-63,-67,-61,-63,-57,-63,-75,-77,-63,-69,-67,-67,-65,-81,-85,-81,-79,-61,-37,-63,-71,-77
77,"(1,1)",-65,-63,-61,-67,-65,-63,-57,-65,-83,-79,-61,-69,-67,-67,-69,-81,-85,-83,-79,-61,-35,-65,-69,-77
78,"(1,1)",-65,-61,-63,-65,-65,-61,-57,-65,-73,-79,-61,-67,-67,-67,-65,-81,-85,-81,-79,-61,-35,-65,-63,-77
79,"(1,1)",-65,-61,-63,-69,-65,-63,-57,-61,-77,-79,-79,-67,-69,-65,-67,-81,-85,-81,-75,-61,-35,-61,-67,-77
80,"(1,1)",-65,-63,-63,-69,-63,-63,-57,-61,-77,-77,-61,-75,-67,-67,-71,-81,-85,-85,-75,-61,-33,-61,-67,-79
81,"(1,1)",-65,-57,-63,-65,-65,-63,-57,-63,-75,-77,-61,-67,-67,-67,-69,-71,-85,-85,-77,-75,-35,-63,-69,-79
82,"(1,1)",-65,-63,-63,-67,-63,-61,-57,-63,-75,-79,-61,-67,-67,-65,-67,-81,-85,-85,-77,-61,-45,-65,-69,-71
83,"(1,1)",-65,-63,-63,-67,-65,-65,-57,-63,-75,-79,-59,-67,-67,-65,-73,-81,-85,-85,-79,-61,-35,-63,-69,-79
84,"(1,1)",-65,-59,-63,-67,-63,-63,-57,-63,-75,-77,-61,-67,-67,-67,-73,-81,-87,-81,-79,-61,-35,-63,-69,-79
85,"(1,1)",-65,-59,-63,-69,-65,-63,-57,-65,-77,-77,-59,-67,-67,-67,-73,-81,-87,-83,-79,-61,-35,-65,-71,-75
86,"(1,1)",-65,-61,-61,-63,-65,-65,-57,-63,-77,-79,-61,-65,-67,-67,-73,-81,-87,-83,-81,-61,-35,-63,-71,-81
87,"(1,1)",-65,-61,-63,-69,-63,-63,-57,-63,-77,-77,-61,-67,-65,-65,-73,-73,-87,-81,-77,-63,-35,-65,-71,-79
88,"(1,1)",-63,-63,-63,-67,-63,-63,-55,-63,-75,-77,-61,-67,-67,-67,-73,-73,-87,-83,-77,-61,-35,-65,-71,-77
89,"(1,1)",-65,-59,-61,-67,-65,-61,-57,-65,-77,-77,-61,-65,-67,-65,-67,-73,-87,-83,-77,-63,-45,-61,-71,-77
90,"(1,1)",-65,-59,-63,-65,-65,-61,-55,-65,-77,-73,-61,-65,-67,-65,-73,-73,-87,-79,-77,-61,-45,-61,-69,-77
91,"(1,1)",-63,-59,-63,-67,-65,-61,-57,-61,-75,-75,-61,-65,-67,-65,-65,-73,-87,-75,-79,-63,-37,-61,-69,-77
92,"(1,1)",-65,-59,-63,-67,-59,-61,-57,-67,-75,-77,-61,-67,-67,-65,-65,-71,-75,-75,-63,-45,-67,-69,-79,-87
93,"(1,1)",-65,-63,-63,-69,-65,-63,-57,-63,-75,-77,-61,-67,-69,-65,-73,-71,-75,-75,-61,-37,-67,-71,-79,-85
94,"(1,1)",-65,-61,-63,-67,-63,-71,-57,-65,-75,-77,-61,-77,-65,-65,-67,-79,-81,-75,-61,-35,-65,-71,-79,-87
95,"(1,1)",-65,-59,-63,-63,-65,-61,-59,-67,-75,-79,-59,-67,-67,-67,-71,-81,-81,-77,-61,-47,-63,-69,-79,-87
96,"(1,1)",-65,-59,-63,-61,-65,-85,-57,-65,-75,-77,-61,-67,-67,-67,-67,-81,-81,-77,-61,-35,-65,-71,-79,-87
97,"(1,1)",-65,-61,-63,-69,-59,-63,-57,-65,-75,-75,-61,-67,-67,-67,-67,-81,-81,-77,-61,-35,-67,-71,-79,-87
98,"(1,1)",-65,-59,-63,-63,-65,-61,-57,-65,-77,-77,-61,-67,-67,-67,-67,-83,-81,-77,-61,-37,-59,-71,-79,-87
99,"(1,1)",-65,-63,-63,-65,-67,-61,-57,-67,-77,-73,-79,-67,-67,-67,-71,-81,-83,-77,-63,-35,-67,-71,-75,-87
100,"(1,1)",-65,-61,-63,-65,-63,-63,-57,-65,-75,-79,-61,-67,-65,-65,-65,-81,-83,-75,-61,-35,-67,-71,-79,-87
101,"(1,1)",-65,-63,-63,-65,-61,-65,-57,-67,-77,-79,-61,-67,-65,-65,-73,-81,-83,-75,-63,-35,-67,-71,-79,-87
102,"(1,1)",-65,-61,-61,-67,-63,-65,-55,-63,-75,-79,-61,-69,-65,-65,-73,-81,-83,-75,-63,-45,-65,-71,-79,-87
103,"(1,1)",-65,-63,-63,-67,-63,-65,-57,-63,-75,-79,-61,-69,-65,-67,-61,-81,-81,-75,-61,-35,-59,-71,-79,-87
104,"(1,1)",-65,-63,-63,-67,-63,-61,-59,-63,-77,-79,-61,-67,-77,-63,-67,-81,-81,-75,-63,-45,-61,-71,-79,-87
105,"(1,1)",-65,-59,-63,-65,-71,-65,-57,-67,-77,-77,-61,-75,-67,-67,-69,-81,-81,-75,-63,-45,-63,-71,-75,-83
106,"(1,1)",-65,-59,-63,-65,-65,-63,-57,-63,-75,-77,-61,-75,-67,-65,-71,-81,-83,-75,-69,-45,-63,-71,-79,-83
107,"(1,1)",-65,-61,-63,-67,-65,-63,-55,-63,-75,-77,-59,-67,-67,-67,-65,-81,-85,-75,-61,-45,-67,-71,-79,-83
108,"(1,1)",-59,-61,-63,-67,-65,-63,-55,-63,-75,-79,-61,-65,-65,-65,-65,-81,-81,-75,-61,-37,-67,-71,-79,-81
109,"(1,1)",-65,-77,-63,-65,-65,-65,-57,-65,-75,-77,-61,-67,-67,-65,-73,-81,-83,-75,-61,-45,-63,-71,-79,-81
110,"(1,1)",-65,-77,-61,-67,-63,-61,-59,-65,-75,-73,-61,-67,-67,-65,-71,-81,-83,-77,-61,-37,-67,-79,-81,-83
111,"(1,1)",-65,-59,-63,-67,-65,-63,-57,-67,-83,-79,-63,-67,-67,-65,-73,-81,-81,-75,-63,-47,-67,-79,-81,-83
112,"(1,1)",-65,-63,-63,-69,-65,-63,-57,-65,-75,-79,-61,-67,-67,-67,-73,-81,-79,-75,-63,-35,-63,-79,-81,-83
113,"(1,1)",-65,-63,-63,-67,-61,-63,-57,-65,-75,-77,-63,-67,-69,-75,-73,-81,-83,-75,-61,-37,-63,-81,-79,-83
114,"(1,1)",-65,-55,-63,-67,-65,-63,-57,-63,-75,-77,-59,-65,-67,-67,-71,-81,-83,-77,-63,-35,-63,-79,-79,-79
115,"(1,1)",-65,-61,-63,-67,-63,-63,-55,-63,-77,-77,-61,-75,-67,-67,-67,-81,-81,-75,-61,-35,-67,-77,-79,-79
116,"(1,1)",-65,-61,-61,-67,-63,-63,-59,-61,-73,-81,-61,-67,-67,-67,-67,-79,-81,-75,-71,-35,-63,-79,-79,-79
117,"(1,1)",-65,-59,-65,-67,-63,-65,-59,-61,-75,-79,-61,-67,-65,-67,-73,-79,-81,-77,-57,-35,-65,-75,-79,-81
118,"(1,1)",-65,-61,-63,-67,-61,-63,-59,-65,-75,-77,-63,-65,-65,-67,-75,-79,-81,-77,-61,-37,-61,-79,-79,-83
119,"(1,1)",-65,-63,-63,-63,-65,-65,-55,-67,-77,-77,-61,-67,-67,-67,-73,-79,-81,-79,-61,-35,-63,-73,-79,-77
120,"(1,1)",-65,-61,-63,-65,-65,-63,-57,-61,-75,-77,-61,-67,-67,-65,-65,-79,-83,-75,-75,-37,-63,-77,-79,-81
121,"(1,1)",-67,-61,-63,-67,-63,-63,-65,-63,-75,-79,-61,-67,-67,-69,-67,-79,-83,-75,-61,-45,-65,-81,-79,-83
122,"(1,1)",-65,-61,-63,-69,-65,-63,-57,-65,-73,-79,-59,-67,-67,-67,-67,-79,-83,-77,-59,-45,-67,-81,-81,-83
123,"(1,1)",-65,-61,-63,-65,-63,-63,-57,-65,-77,-79,-61,-67,-67,-67,-67,-79,-83,-77,-61,-45,-67,-77,-81,-79
124,"(1,1)",-65,-61,-63,-67,-63,-63,-77,-63,-77,-79,-61,-67,-67,-65,-65,-79,-83,-77,-63,-45,-61,-81,-81,-79
125,"(1,1)",-65,-59,-63,-65,-63,-61,-57,-63,-75,-75,-61,-67,-67,-65,-71,-79,-83,-77,-63,-45,-65,-79,-81,-75
126,"(1,1)",-65,-63,-63,-65,-65,-63,-57,-65,-75,-79,-59,-67,-67,-65,-67,-79,-83,-77,-77,-37,-67,-77,-81,-79
127,"(1,1)",-65,-59,-63,-67,-63,-63,-57,-61,-75,-77,-59,-67,-67,-67,-67,-73,-83,-77,-61,-35,-67,-77,-81,-83
128,"(1,1)",-65,-59,-63,-65,-63,-63,-57,-63,-77,-79,-61,-77,-67,-65,-73,-73,-83,-77,-61,-45,-63,-77,-81,-73
129,"(1,1)",-65,-57,-83,-65,-83,-63,-57,-63,-77,-77,-61,-77,-67,-65,-65,-73,-83,-77,-63,-35,-63,-77,-81,-79
130,"(1,1)",-65,-61,-61,-67,-63,-61,-57,-63,-75,-77,-63,-77,-65,-67,-65,-73,-81,-77,-61,-35,-67,-77,-81,-79
131,"(1,1)",-65,-59,-65,-87,-65,-63,-59,-67,-75,-79,-61,-67,-65,-67,-65,-73,-83,-77,-61,-35,-65,-81,-81,-79
132,"(1,1)",-65,-65,-63,-65,-63,-63,-57,-65,-75,-79,-61,-67,-65,-61,-67,-73,-83,-77,-61,-35,-63,-81,-81,-79
133,"(1,1)",-67,-59,-63,-65,-63,-63,-57,-63,-83,-81,-61,-75,-67,-67,-73,-73,-83,-77,-61,-37,-63,-73,-81,-79
134,"(1,1)",-65,-57,-63,-67,-65,-63,-57,-63,-75,-77,-61,-67,-67,-65,-73,-73,-83,-77,-61,-33,-61,-77,-81,-81
135,"(1,1)",-65,-61,-63,-69,-65,-61,-59,-63,-75,-77,-61,-67,-67,-63,-75,-73,-81,-77,-61,-35,-67,-77,-81,-81
136,"(1,1)",-65,-63,-63,-63,-61,-61,-57,-67,-75,-79,-61,-67,-67,-63,-69,-73,-81,-77,-59,-35,-63,-73,-83,-81
137,"(1,1)",-65,-63,-63,-67,-63,-63,-59,-61,-73,-77,-63,-67,-67,-65,-71,-73,-77,-77,-61,-35,-61,-79,-81,-81
138,"(1,1)",-65,-63,-63,-65,-65,-65,-57,-63,-75,-77,-59,-67,-67,-65,-73,-73,-77,-77,-61,-35,-63,-79,-81,-81
139,"(1,1)",-65,-59,-63,-67,-63,-63,-57,-63,-75,-77,-63,-67,-67,-65,-67,-73,-77,-75,-63,-35,-67,-75,-83,-79
140,"(1,1)",-65,-63,-63,-67,-65,-61,-55,-63,-75,-65,-61,-67,-67,-65,-67,-77,-77,-61,-35,-67,-75,-83,-77,-81
141,"(1,1)",-65,-61,-63,-67,-65,-63,-57,-61,-75,-79,-61,-67,-67,-67,-73,-77,-77,-63,-35,-63,-79,-83,-77,-81
142,"(1,1)",-65,-61,-63,-67,-65,-63,-57,-63,-73,-77,-61,-67,-67,-67,-65,-81,-77,-63,-45,-61,-79,-83,-81,-79
143,"(1,1)",-65,-61,-63,-67,-65,-61,-57,-67,-75,-79,-61,-75,-65,-67,-73,-79,-63,-61,-37,-65,-77,-83,-83,-79
144,"(1,1)",-65,-61,-63,-67,-63,-63,-57,-61,-77,-77,-61,-67,-67,-67,-71,-79,-75,-61,-45,-65,-77,-83,-79,-79
145,"(1,1)",-65,-61,-65,-65,-65,-61,-57,-61,-75,-79,-61,-67,-67,-65,-67,-81,-77,-61,-45,-67,-77,-83,-81,-83
146,"(1,1)",-65,-61,-63,-67,-65,-61,-57,-65,-75,-79,-61,-67,-67,-67,-73,-81,-77,-61,-35,-65,-77,-83,-81,-83
147,"(1,1)",-65,-59,-63,-65,-65,-61,-57,-65,-73,-79,-61,-65,-65,-71,-71,-83,-77,-61,-67,-67,-77,-81,-81,-83
148,"(1,1)",-67,-59,-63,-61,-65,-61,-57,-65,-75,-79,-61,-67,-67,-67,-67,-83,-77,-61,-67,-67,-77,-81,-81,-83
149,"(1,1)",-67,-57,-61,-67,-63,-63,-57,-67,-75,-79,-61,-65,-67,-67,-65,-83,-77,-61,-47,-67,-71,-81,-81,-83
150,"(1,1)",-65,-59,-63,-67,-83,-63,-55,-67,-75,-79,-61,-65,-67,-67,-81,-83,-77,-61,-35,-65,-73,-81,-81,-83
151,"(1,1)",-65,-57,-63,-67,-61,-65,-59,-65,-75,-77,-61,-65,-67,-67,-71,-83,-77,-61,-35,-65,-73,-81,-81,-83
152,"(1,1)",-65,-63,-63,-67,-63,-63,-57,-67,-75,-75,-61,-67,-67,-65,-65,-83,-75,-61,-35,-65,-79,-81,-79,-79
153,"(1,1)",-65,-61,-63,-67,-63,-63,-57,-59,-75,-75,-61,-65,-65,-67,-73,-83,-73,-65,-35,-67,-79,-81,-81,-79
154,"(1,1)",-67,-81,-63,-69,-65,-63,-57,-65,-77,-77,-61,-67,-69,-67,-77,-81,-77,-63,-35,-63,-79,-81,-83,-79
155,"(1,1)",-65,-63,-63,-67,-63,-61,-57,-65,-77,-79,-61,-77,-67,-67,-71,-81,-77,-61,-35,-63,-79,-81,-77,-79
156,"(1,1)",-65,-61,-63,-67,-63,-61,-53,-63,-75,-79,-61,-67,-67,-65,-67,-81,-75,-63,-35,-65,-79,-81,-77,-79
