,precision,recall,f1-score,support
0,0.9701492537313433,1.0,0.9848484848484849,65.0
1,1.0,1.0,1.0,80.0
2,0.9846153846153847,0.9696969696969697,0.9770992366412214,66.0
3,0.945054945054945,1.0,0.9717514124293786,86.0
4,0.9666666666666667,0.9354838709677419,0.9508196721311476,62.0
5,0.9523809523809523,0.8450704225352113,0.8955223880597014,71.0
6,0.8524590163934426,0.9454545454545454,0.8965517241379309,55.0
7,0.9855072463768116,0.9444444444444444,0.9645390070921985,72.0
8,0.9866666666666667,1.0,0.9932885906040269,74.0
accuracy,0.9619651347068146,0.9619651347068146,0.9619651347068146,0.9619651347068146
macro avg,0.9603889035429124,0.960016694788768,0.9593800573271213,631.0
weighted avg,0.9631165199340127,0.9619651347068146,0.9617555322816023,631.0
