,precision,recall,f1-score,support
0,0.9924953095684803,0.9906367041198502,0.9915651358950328,534.0
1,0.9957627118644068,1.0,0.9978768577494692,470.0
2,0.990791896869245,1.0,0.9953746530989825,538.0
3,0.991869918699187,0.9878542510121457,0.9898580121703855,494.0
4,0.9805825242718447,0.9805825242718447,0.9805825242718447,515.0
5,0.989648033126294,0.987603305785124,0.9886246122026888,484.0
6,0.986,0.9899598393574297,0.9879759519038075,498.0
7,0.9978768577494692,0.9894736842105263,0.9936575052854123,475.0
8,0.9857723577235772,0.9837728194726166,0.9847715736040609,493.0
accuracy,0.9900022217285048,0.9900022217285048,0.9900022217285048,0.9900022217285048
macro avg,0.9900888455413894,0.9899870142477263,0.9900318695757426,4501.0
weighted avg,0.9900079266964541,0.9900022217285048,0.9899989700602513,4501.0
