,precision,recall,f1-score,support
0,1.0,1.0,1.0,49.0
1,1.0,1.0,1.0,57.0
2,0.9692307692307692,1.0,0.9843749999999999,63.0
3,1.0,0.9743589743589743,0.9870129870129869,39.0
4,1.0,1.0,1.0,43.0
5,0.9811320754716981,0.896551724137931,0.9369369369369369,58.0
6,0.5194805194805194,1.0,0.6837606837606837,40.0
7,0.9583333333333334,0.40350877192982454,0.5679012345679012,57.0
8,1.0,1.0,1.0,45.0
accuracy,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091
macro avg,0.9364640775018134,0.9193799411585256,0.906665204697612,451.0
weighted avg,0.9453911743195516,0.9090909090909091,0.9059252140945601,451.0
